STATE,NAME,POPESTIMATE2010,POPESTIMATE2012,POPESTIMATE2014,POPESTIMATE2016,POPESTIMATE2018
1,Alabama,4785437,4815588,4841799,4863525,4887681
2,Alaska,713910,730443,736283,741456,735139
4,Arizona,6407172,6554978,6730413,6941072,7158024
5,Arkansas,2921964,2952164,2967392,2989918,3009733
6,California,37319502,37948800,38596972,39167117,39461588
8,Colorado,5047349,5192647,5350101,5539215,5691287
9,Connecticut,3579114,3594547,3594524,3578141,3571520
10,Delaware,899593,915179,932487,948921,965479
11,District of Columbia,605226,634924,662328,685815,701547
12,Florida,18845537,19297822,19845911,20613477,21244317
13,Georgia,9711881,9901430,10067278,10301890,10511131
15,Hawaii,1363963,1394804,1414538,1427559,1420593
16,Idaho,1570746,1595324,1631112,1682380,1750536
17,Illinois,12840503,12882510,12884493,12820527,12723071
18,Indiana,6490432,6537703,6593644,6634304,6695497
19,Iowa,3050745,3076190,3109350,3131371,3148618
20,Kansas,2858190,2885257,2900475,2910844,2911359
21,Kentucky,4348181,4386346,4414349,4438182,4461153
22,Louisiana,4544532,4600972,4644013,4678135,4659690
23,Maine,1327629,1327729,1330513,1331317,1339057
24,Maryland,5788645,5886992,5957283,6003323,6035802
25,Massachusetts,6566307,6663005,6762596,6823608,6882635
26,Michigan,9877510,9897145,9929848,9950571,9984072
27,Minnesota,5310828,5376643,5451079,5522744,5606249
28,Mississippi,2970548,2983816,2990468,2987938,2981020
29,Missouri,5995974,6024367,6056202,6087135,6121623
30,Montana,990697,1003783,1021869,1040859,1060665
31,Nebraska,1829542,1853303,1879321,1905616,1925614
32,Nevada,2702405,2743996,2817628,2917563,3027341
33,New Hampshire,1316762,1324232,1333341,1342307,1353465
34,New Jersey,8799446,8844942,8864525,8870827,8886025
35,New Mexico,2064552,2087309,2089568,2091630,2092741
36,New York,19399878,19572932,19651049,19633428,19530351
37,North Carolina,9574323,9749476,9932887,10154788,10381615
38,North Dakota,674715,701176,737401,754434,758080
39,Ohio,11539336,11548923,11602700,11634370,11676341
40,Oklahoma,3759944,3818814,3878187,3926331,3940235
41,Oregon,3837491,3899001,3963244,4089976,4181886
42,Pennsylvania,12711160,12767118,12788313,12782275,12800922
44,Rhode Island,1053959,1054621,1055936,1056770,1058287
45,South Carolina,4635649,4717354,4823617,4957968,5084156
46,South Dakota,816166,833566,849129,862996,878698
47,Tennessee,6355311,6453898,6541223,6646010,6771631
48,Texas,25241971,26084481,26964333,27914410,28628666
49,Utah,2775332,2853375,2936879,3041868,3153550
50,Vermont,625879,626090,625214,623657,624358
51,Virginia,8023699,8185080,8310993,8410106,8501286
53,Washington,6742830,6897058,7054655,7294771,7523869
54,West Virginia,1854239,1856872,1849489,1831023,1804291
55,Wisconsin,5690475,5719960,5751525,5772628,5807406
56,Wyoming,564487,576305,582531,584215,577601
72,Puerto Rico,3721525,3634488,3534874,3406672,3193354